@RELATION output4

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 {0.0,1.0}

@DATA
-1.164364,-0.419555,1.0
0.644419,-0.537805,1.0
0.740492,0.519693,0.0
-0.147778,0.9677,0.0
1.476773,0.382037,1.0
1.308782,0.821587,1.0
1.43979,-0.138051,1.0
0.531804,0.372547,0.0
0.736347,-1.307665,1.0
0.523956,-1.443206,1.0
-0.290167,-0.177862,0.0
-1.161982,1.491777,1.0
-1.481382,-1.325463,1.0
-0.107753,1.126522,1.0
-0.868755,0.829803,0.0
1.172758,-0.654879,1.0
0.660669,0.62972,0.0
-0.680017,-0.703419,1.0
0.473618,0.341277,0.0
0.273051,0.393442,0.0
0.128471,1.338218,1.0
0.280137,-1.199341,1.0
0.596409,1.381032,1.0
0.732249,0.950522,0.0
-1.125667,0.095329,1.0
0.169376,0.813727,0.0
-0.947781,0.076224,0.0
0.326556,0.089121,0.0
-1.097805,1.066121,1.0
1.224565,-1.162462,1.0
1.155057,0.708264,1.0
0.87514,-0.478721,1.0
-1.485947,1.49646,1.0
1.362409,0.491875,1.0
-0.008606,0.710359,0.0
1.25561,-0.062706,1.0
-1.290061,0.870744,1.0
0.570696,-0.660941,1.0
-1.058451,-0.488679,1.0
1.006679,-1.140825,1.0
0.454476,0.877289,0.0
0.988292,-0.767904,1.0
-1.270231,0.66931,1.0
0.014473,-0.89981,0.0
-0.562043,-0.125882,0.0
-0.700022,-0.136035,0.0
-1.056916,0.143081,0.0
1.488038,0.694558,1.0
1.439145,1.198946,1.0
0.037313,0.316182,0.0
-1.266975,1.333973,1.0
1.456667,0.530806,1.0
1.298533,-0.780781,1.0
0.426831,-1.207707,1.0
1.439568,-1.369062,1.0
1.106652,-1.104048,1.0
-0.110042,-0.341126,0.0
1.37346,0.634117,1.0
0.553617,-0.844837,1.0
1.161456,0.414988,1.0
0.110532,1.34624,1.0
0.352335,0.820495,0.0
-0.067672,0.539434,0.0
0.079628,-0.368358,0.0
0.611808,0.545018,0.0
-0.239292,-0.990541,1.0
0.236532,-0.241737,0.0
-0.506994,0.222397,0.0
-0.351053,-1.181228,1.0
1.161774,0.119195,1.0
1.42555,1.372961,1.0
1.028892,0.015287,1.0
-0.905618,0.45613,0.0
0.414429,0.311267,0.0
0.734082,0.921265,0.0
1.467644,0.776014,1.0
-0.607422,-0.38788,0.0
-1.117283,0.865374,1.0
0.133058,-1.241672,1.0
0.055299,-1.38699,1.0
-1.352009,1.036128,1.0
-0.376183,0.691944,0.0
-1.434443,1.298552,1.0
-0.44325,-0.816064,1.0
-0.305975,-0.636985,0.0
-0.702049,-0.648247,1.0
-0.143302,1.156427,1.0
-1.218569,-1.250704,1.0
-0.208466,-0.686589,0.0
-1.464111,-0.821334,1.0
0.719365,1.289584,1.0
0.220177,1.340031,1.0
-0.249885,0.061897,0.0
-0.147755,0.629627,0.0
-0.91467,0.092045,0.0
-0.440227,0.203126,0.0
-0.389443,-0.496338,0.0
0.198691,1.087787,0.0
1.256114,-1.166911,1.0
-0.451206,0.66019,0.0
-1.341274,0.440351,1.0
0.862599,-0.635077,1.0
0.231239,-1.159027,1.0
-0.307607,0.970493,0.0
-0.341661,0.993783,0.0
1.261343,1.317391,1.0
0.609522,0.368657,0.0
-1.37762,0.794677,1.0
-1.27556,1.22102,1.0
1.144772,-0.368446,1.0
1.318457,-0.779385,1.0
1.412065,-0.738923,1.0
1.352425,-1.005898,1.0
-1.270232,-1.105615,1.0
-0.580547,0.763396,0.0
1.429261,1.361989,1.0
-0.090625,-1.057077,1.0
-0.376319,-0.273385,0.0
1.31784,-1.2411,1.0
1.160835,-1.353821,1.0
-0.216805,-0.255421,0.0
-0.07469,-1.302375,1.0
-1.477627,0.637342,1.0
0.363282,-0.439649,0.0
1.187131,1.029776,1.0
-0.847827,0.353493,0.0
0.709928,-0.624461,1.0
0.706948,0.25674,0.0
1.479337,-1.030145,1.0
-0.286152,-0.093039,0.0
-1.165685,-1.439643,1.0
-0.780918,0.295347,0.0
0.636013,0.289417,0.0
-0.330066,-1.083285,1.0
-0.708837,0.893113,0.0
-1.396513,1.069323,1.0
-0.821574,-1.39273,1.0
0.251801,0.5924,0.0
0.391037,0.813593,0.0
0.677293,0.887234,0.0
0.753277,-0.05967,0.0
0.501501,0.804647,0.0
0.487944,-0.370124,0.0
0.684654,-0.089474,0.0
-0.77533,0.81411,0.0
1.090538,-1.123323,1.0
1.003459,1.012211,1.0
-1.076279,-0.461091,1.0
0.636747,0.663996,0.0
0.573276,-1.430602,1.0
0.937223,1.394816,1.0
1.143259,0.848102,1.0
-1.462358,-0.845109,1.0
0.261112,0.990878,0.0
-0.479175,-1.076018,1.0
0.635318,1.207742,0.0
-0.212039,-0.650215,0.0
-0.127156,0.004894,0.0
1.031907,0.389257,0.0
1.472698,-0.957171,1.0
-0.945189,-0.46243,1.0
0.28114,0.287992,0.0
-0.585141,0.658787,0.0
-0.252229,-1.397443,1.0
0.163496,-1.047864,1.0
-0.240449,-0.852958,1.0
1.411551,-1.250052,1.0
0.161214,1.458344,1.0
1.130369,0.835291,1.0
1.050827,1.110837,1.0
0.893663,-0.113236,0.0
-1.449307,-0.503369,1.0
-0.012896,0.110629,0.0
0.658547,-0.049596,0.0
0.534445,0.466005,0.0
1.31401,-0.737028,1.0
-0.028236,-0.420243,0.0
1.09435,-0.525924,1.0
1.047337,-0.979034,1.0
1.450625,-1.447702,1.0
1.350004,0.564035,1.0
0.480085,-1.462886,1.0
0.251535,1.072992,0.0
-1.451725,1.275288,1.0
-0.716425,-1.036088,1.0
-0.470146,0.288328,0.0
1.040511,1.313141,1.0
-1.438233,-0.419016,1.0
-1.057628,0.219863,0.0
-1.321894,-0.284338,1.0
0.04893,0.547155,0.0
0.288054,-0.321747,0.0
-0.410882,0.849815,0.0
-0.63295,1.25367,1.0
-1.153706,0.518559,1.0
1.109258,1.451781,1.0
0.485901,-1.349041,1.0
-1.233931,1.139679,1.0
1.123275,0.604978,0.0
-0.848615,-1.447289,1.0
-1.326381,-1.028728,1.0
-0.463935,0.242143,0.0
0.053379,0.843514,0.0
-0.11819,-0.162338,0.0
0.843927,0.193094,0.0
1.000703,-0.36019,1.0
1.110618,-0.962745,1.0
-0.925113,-0.748412,1.0
0.314412,0.922359,0.0
0.012985,-0.292409,0.0
0.835285,-0.581704,1.0
-0.72506,0.962857,0.0
-0.483081,-0.066885,0.0
0.931017,-1.419791,1.0
0.069981,1.245922,1.0
1.171285,0.812138,1.0
0.127268,0.920198,0.0
0.791671,0.196246,0.0
-0.36118,-0.551201,0.0
-0.385037,0.176609,0.0
0.598139,-0.038233,0.0
-0.627201,1.47097,1.0
0.513553,0.493553,0.0
-1.221246,1.39282,1.0
-1.252873,-0.140119,1.0
-0.546342,-0.196114,0.0
-0.318799,-0.346127,0.0
0.381907,1.277622,1.0
-0.605679,-0.419451,0.0
0.785533,0.085636,0.0
1.087536,-1.037482,1.0
1.357745,0.244657,1.0
-1.341339,-1.036575,1.0
0.021474,0.941469,0.0
-0.696856,-1.327395,1.0
1.472123,0.342048,1.0
-0.66636,0.526749,0.0
-0.058843,1.058235,0.0
-1.14171,0.790454,1.0
0.587248,0.577845,0.0
-0.543554,-0.836133,1.0
1.414952,0.406998,1.0
0.798785,1.019863,0.0
-0.946136,0.779018,0.0
-0.50265,0.022996,0.0
-1.110768,0.06497,1.0
-0.427024,-1.443467,1.0
1.261006,0.431741,1.0
-1.3827,0.955266,1.0
-0.659075,0.616973,0.0
1.369552,-1.015883,1.0
0.559083,-0.711473,1.0
0.280004,-1.161852,1.0
-0.942022,1.393981,1.0
0.995138,0.659921,0.0
0.799396,-0.617978,1.0
-0.085282,0.783963,0.0
-1.271066,-0.61387,1.0
1.199899,0.627312,1.0
0.7934,-0.715777,1.0
1.225534,-1.152719,1.0
-1.29152,-1.397946,1.0
-0.833715,-0.429763,1.0
0.654856,1.165856,0.0
0.9033,-1.430557,1.0
0.635304,1.103545,0.0
-0.163049,-1.154672,1.0
0.950169,-1.131147,1.0
0.117644,1.048625,0.0
0.740045,-1.262509,1.0
0.927963,0.274944,0.0
-0.175832,0.511538,0.0
-1.388049,-0.132631,1.0
-0.867126,0.354099,0.0
-1.485835,0.505702,1.0
0.334343,1.424397,1.0
-0.333861,0.173804,0.0
0.566796,-1.01264,1.0
-0.877506,-1.22013,1.0
-0.510617,-0.36282,0.0
1.091278,1.229242,1.0
-1.269975,1.308711,1.0
-0.255918,1.49561,1.0
0.352537,-0.418667,0.0
-0.735965,-0.356476,0.0
0.785429,-0.738772,1.0
-0.109308,1.444989,1.0
-1.170631,-0.071013,1.0
1.475061,0.397582,1.0
1.152648,-0.063529,1.0
-1.430194,-0.759277,1.0
1.311598,0.735445,1.0
0.562217,-1.355142,1.0
-1.252955,-0.629157,1.0
-0.605491,-0.413286,0.0
0.718723,-1.476254,1.0
1.254573,1.061353,1.0
0.991401,-0.482186,1.0
-1.071793,1.432679,1.0
-0.396382,-1.234555,1.0
-0.354106,0.47986,0.0
-0.062384,-0.278561,0.0
-1.226745,0.500447,1.0
-0.07501,-1.437279,1.0
-0.5213,0.110371,0.0
0.953627,1.31629,1.0
0.315161,0.381602,0.0
-0.150053,-1.190262,1.0
-1.019794,0.880148,0.0
1.021909,0.685892,0.0
0.970435,0.241445,0.0
1.197155,1.452479,1.0
-0.805295,-0.615237,1.0
0.849594,0.257008,0.0
-0.806694,-0.452176,1.0
-0.625224,0.235011,0.0
-0.827142,0.42847,0.0
1.252403,0.422521,1.0
0.730668,1.148987,0.0
-0.616689,0.212439,0.0
-0.775478,0.20678,0.0
0.215227,-0.54257,0.0
-0.19113,0.765903,0.0
-0.090865,0.002951,0.0
1.135402,0.29528,1.0
0.75808,-1.156609,1.0
0.394122,-0.598709,0.0
-0.292056,-0.805786,1.0
1.382803,-0.515055,1.0
0.805173,-0.935775,1.0
0.778502,0.53915,0.0
0.313601,-0.08516,0.0
1.212191,0.908998,1.0
-0.355937,-0.490149,0.0
-1.182211,-0.53822,1.0
0.257584,-0.534614,0.0
1.144545,0.205851,1.0
-0.225644,0.25626,0.0
0.015318,0.161465,0.0
-0.987556,-0.972451,1.0
-1.361814,-0.278858,1.0
1.383938,-0.620435,1.0
-1.011398,-1.052369,1.0
-0.080172,0.852153,0.0
1.388463,-0.329044,1.0
0.432355,1.156677,0.0
-0.856545,0.783537,0.0
0.623188,0.256705,0.0
-1.233137,1.243646,1.0
1.482314,-1.179021,1.0
1.186696,1.457976,1.0
-0.185724,-0.47113,0.0
0.593617,0.802948,0.0
0.52471,0.562768,0.0
-0.148542,-0.459618,0.0
-0.918323,1.139705,1.0
1.41819,-1.465918,1.0
0.190558,-0.976256,1.0
-1.400814,0.301526,1.0
-1.168862,1.338281,1.0
0.825307,-1.138557,1.0
-0.530926,0.628289,0.0
-0.792937,-1.34231,1.0
-0.601329,-0.477942,0.0
1.036983,-1.232115,1.0
-0.690139,0.579738,0.0
-0.455766,-0.099308,0.0
0.428542,0.269089,0.0
-0.207767,-1.466473,1.0
-0.558664,-0.845676,1.0
1.118624,0.34806,0.0
0.908887,-0.771451,1.0
-1.478875,-0.791853,1.0
-1.411387,0.389866,1.0
-1.413996,0.574604,1.0
-1.090884,0.43429,0.0
-0.415208,0.410898,0.0
-0.219967,1.253272,1.0
0.890049,1.32281,1.0
-1.365976,1.344249,1.0
1.058458,1.487603,1.0
1.155982,0.967073,1.0
-0.454007,1.226116,0.0
-0.334281,-1.070604,1.0
-0.419243,0.260107,0.0
-0.250099,-0.104245,0.0
-0.74231,-0.779152,1.0
0.558577,-0.351976,0.0
0.558787,-0.261128,0.0
-1.336856,-1.120949,1.0
0.391492,1.431561,1.0
-0.408907,-0.380909,0.0
0.260874,0.693743,0.0
-0.340399,1.01441,0.0
-1.05168,1.280709,1.0
-0.87175,-0.670628,1.0
-1.045709,-1.371863,1.0
-0.210175,-0.264095,0.0
0.894399,-0.210912,1.0
1.062287,-1.223138,1.0
1.127628,0.670213,0.0
0.032431,-0.854388,0.0
0.720369,-0.175993,0.0
-0.04161,0.820225,0.0
1.03501,0.348742,0.0
-1.477254,-0.417965,1.0
0.794157,0.65772,0.0
0.123944,1.137006,1.0
-0.370348,0.498833,0.0
0.243331,-0.345384,0.0
0.683453,0.14413,0.0
0.212152,0.759383,0.0
1.350121,-0.02051,1.0
0.557489,-0.853906,1.0
-1.169861,-0.69655,1.0
0.650155,0.041124,0.0
0.10087,-0.434709,0.0
0.814992,1.207418,1.0
-0.270037,0.552254,0.0
-1.09904,-0.209649,1.0
-1.265139,0.877479,1.0
0.371811,0.381821,0.0
-0.393665,1.333254,1.0
0.854703,0.110074,0.0
-0.666866,0.35399,0.0
0.05103,-0.806557,0.0
0.299975,-0.632288,0.0
0.447026,-0.349402,0.0
0.57978,0.460049,0.0
-0.845271,-0.904703,1.0
-0.168684,0.840738,0.0
0.408852,-1.423628,1.0
-0.044663,0.477076,0.0
0.495109,1.195024,0.0
-0.573974,1.298148,1.0
-0.904658,-0.863116,1.0
-0.404342,-1.207893,1.0
0.39009,-0.823847,1.0
-0.357554,-0.39989,0.0
-0.335169,1.1982,0.0
-0.241532,0.453054,0.0
-0.175643,-0.790962,0.0
0.380275,0.024198,0.0
-0.714345,-0.45933,1.0
0.430709,0.307721,0.0
-0.293081,0.100801,0.0
-0.206459,0.17117,0.0
0.994501,-0.263684,1.0
-0.510878,-0.753934,1.0
-0.846879,0.950474,0.0
0.364634,0.73189,0.0
-0.074561,0.277042,0.0
-1.399746,0.63452,1.0
1.175245,0.25758,1.0
0.524998,0.360905,0.0
-1.045722,0.910656,0.0
1.11396,-0.459524,1.0
-1.494591,0.531214,1.0
-0.864093,-1.188457,1.0
-0.459384,0.023319,0.0
-0.404192,0.388989,0.0
-0.305809,0.058751,0.0
1.252045,0.009368,1.0
0.603806,-0.728125,1.0
-1.109935,0.574629,0.0
0.94647,0.88181,0.0
-0.455772,0.360303,0.0
-0.993641,-1.387588,1.0
-0.083625,-0.704326,0.0
-0.174041,0.094103,0.0
-0.870313,-0.413135,1.0
0.269079,1.370376,1.0
0.037022,-0.781398,0.0
1.430477,0.719802,1.0
1.21679,-0.030418,1.0
6.7e-05,0.804996,0.0
1.455594,1.09884,1.0
0.686969,-1.000977,1.0
1.122776,-0.185854,1.0
-1.046777,0.78186,0.0
0.038772,0.356624,0.0
-0.09645,0.111004,0.0
0.666789,0.899235,0.0
0.128688,0.841309,0.0
-0.300075,1.268181,1.0
0.869453,0.167451,0.0
-0.362424,0.835403,0.0
0.629107,-0.844143,1.0
1.209005,-1.070676,1.0
0.473832,0.845275,0.0
1.377901,1.273158,1.0
-0.687219,-0.285732,0.0
0.512082,0.119088,0.0
-0.89858,0.3357,0.0
0.717535,0.428985,0.0
1.322378,-1.084463,1.0
0.373127,1.07916,0.0
0.54595,0.176317,0.0
-1.263456,0.821756,1.0
-0.664923,-0.088566,0.0
0.385922,1.400415,1.0
-0.464485,1.153382,0.0
-1.218702,1.154653,1.0
0.385306,0.262718,0.0
-0.476929,0.972437,0.0
0.934263,1.321657,1.0
-0.627109,-0.167688,0.0
1.149268,0.449645,1.0
-1.073117,-1.343014,1.0
1.22587,1.000618,1.0
0.041511,-0.021699,0.0
-1.177996,0.922844,1.0
0.980501,0.478148,0.0
-0.583761,-0.570372,1.0
-0.364017,0.502022,0.0
1.22731,-1.122478,1.0
-0.060341,1.310731,1.0
0.156176,1.416431,1.0
-0.362528,0.926203,0.0
0.273245,-1.482241,1.0
-0.555947,0.938194,0.0
-1.280913,0.381073,1.0
0.126295,-0.985709,1.0
-0.514335,1.476794,1.0
-0.360322,0.00593,0.0
0.337042,-1.401207,1.0
1.116456,1.457327,1.0
-0.235483,-0.487421,0.0
-1.208271,0.736441,1.0
-0.451986,-1.383145,1.0
-0.775112,1.46629,1.0
-0.403793,0.598939,0.0
0.125771,0.980201,0.0
0.025974,1.400067,1.0
-0.934876,0.484652,0.0
0.585072,0.324388,0.0
0.88672,-0.71976,1.0
0.172319,-1.406345,1.0
-1.088608,-0.320442,1.0
1.10317,-1.295194,1.0
1.21574,-0.375011,1.0
-0.406941,0.8655,0.0
-0.203909,-0.465655,0.0
-0.923198,-0.785011,1.0
-1.124055,1.020871,1.0
-1.19256,-1.085709,1.0
1.40756,-0.196584,1.0
-0.343341,0.524662,0.0
1.006873,-1.341929,1.0
-0.809174,0.298306,0.0
-0.520647,-0.934404,1.0
-0.872988,-1.046043,1.0
0.981986,0.399017,0.0
0.852556,0.078269,0.0
-0.122536,1.407523,1.0
-1.073212,-1.243303,1.0
0.149417,-0.550077,0.0
-0.035903,-1.29881,1.0
-1.093091,0.557516,0.0
-0.992834,0.752951,0.0
-0.275572,0.163148,0.0
0.490398,-0.398356,0.0
0.300473,-0.219456,0.0
-0.097483,0.457444,0.0
-0.256287,0.401197,0.0
-0.740684,0.295134,0.0
0.591723,-1.330001,1.0
-0.888564,0.766064,0.0
-1.408153,1.061336,1.0
0.612704,-0.241184,0.0
-0.453558,0.858673,0.0
0.720297,-1.147774,1.0
1.073864,1.170367,1.0
-0.412345,0.513619,0.0
-0.448324,0.273384,0.0
-0.100887,0.695787,0.0
0.840517,0.53594,0.0
-0.451725,0.650716,0.0
-1.443794,-0.983891,1.0
0.435265,-0.919755,1.0
-0.038526,-0.411201,0.0
-0.601501,0.758194,0.0
-1.158131,0.177793,1.0
-0.850741,0.620995,0.0
-1.028265,0.523867,0.0
1.151428,0.723396,1.0
-1.159011,-0.074589,1.0
-1.276723,-0.915971,1.0
-0.70348,-0.107561,0.0
1.206761,0.739026,1.0
-1.13992,-1.277624,1.0
1.264382,-0.116536,1.0
1.450577,0.530998,1.0
0.446856,0.296321,0.0
-0.901109,0.194451,0.0
-1.24933,1.149064,1.0
-1.321424,0.068081,1.0
-0.490037,0.904998,0.0
0.520032,0.207077,0.0
1.163164,1.462655,1.0
0.304912,-1.061207,1.0
0.298398,-0.516475,0.0
-1.446205,0.918915,1.0
-0.952888,0.485658,0.0
0.226504,-1.323802,1.0
-0.174753,1.357789,1.0
-0.693961,0.259077,0.0
0.123726,1.258265,1.0
0.274308,1.129901,0.0
-0.795237,-1.180393,1.0
1.370941,-0.202601,1.0
0.905651,-1.218176,1.0
1.116268,0.021099,1.0
0.575021,-0.416839,0.0
0.076278,-0.696368,0.0
-0.928673,1.11299,1.0
0.116504,0.500095,0.0
-1.063911,-0.416913,1.0
-0.942767,-1.14357,1.0
-1.314646,1.10368,1.0
-1.108515,0.877795,1.0
-1.473185,-0.487999,1.0
-0.231326,-0.156972,0.0
1.136212,0.810466,1.0
1.26667,0.442425,1.0
0.606938,1.045614,0.0
1.221395,-0.800211,1.0
-1.012679,-0.700121,1.0
-0.619495,0.348633,0.0
0.006815,1.06359,1.0
1.408702,0.933382,1.0
0.93124,-1.428766,1.0
0.050695,-0.982508,1.0
-1.458148,0.523616,1.0
0.697416,1.408463,1.0
0.215812,0.870757,0.0
1.230767,1.39714,1.0
1.442492,-0.550616,1.0
1.325743,0.08261,1.0
0.267179,0.19871,0.0
1.185547,-1.477724,1.0
1.031154,-0.909376,1.0
0.083446,1.383308,1.0
-0.925053,0.858206,0.0
1.19906,-1.451739,1.0
-0.647284,0.620428,0.0
1.490123,-1.439124,1.0
-0.268647,-0.511359,0.0
0.125106,1.34919,1.0
1.325727,-0.828873,1.0
-1.348509,-0.290062,1.0
1.100902,-1.273119,1.0
1.408446,0.511087,1.0
-1.127253,0.399687,0.0
-0.63855,0.887803,0.0
-0.649812,0.975706,0.0
-0.066104,-0.757375,0.0
1.468352,-0.876964,1.0
0.937845,0.784289,0.0
-0.74579,1.314711,1.0
1.296309,-0.044167,1.0
0.075241,0.21645,0.0
1.146903,1.428027,1.0
-0.81528,1.42526,1.0
-0.996103,-0.309551,1.0
-0.053873,0.184698,0.0
-0.345932,-0.87945,1.0
0.402874,-0.082463,0.0
1.431521,-0.954629,1.0
0.855846,0.642524,0.0
-0.900348,0.210998,0.0
-0.720105,0.250266,0.0
-1.054416,0.701595,0.0
0.520919,1.341451,1.0
-0.727643,-0.552516,1.0
-1.180717,-0.243712,1.0
-1.22448,0.20611,1.0
0.77785,-0.981658,1.0
0.081443,-0.295346,0.0
-0.954054,0.671102,0.0
0.235269,0.615816,0.0
-1.44901,-0.323181,1.0
0.554985,0.98752,0.0
-0.361281,-0.972333,1.0
-0.991754,0.022087,0.0
0.993561,-0.097383,1.0
0.788095,-0.108518,0.0
1.091942,-0.660578,1.0
1.354183,0.625749,1.0
1.005865,0.618735,0.0
-0.578232,0.215498,0.0
-0.850144,0.253663,0.0
0.579861,-1.224007,1.0
1.471074,-0.939502,1.0
-1.357503,-0.941116,1.0
-0.801518,-0.849965,1.0
0.772181,0.252194,0.0
0.519044,-1.348913,1.0
-0.379544,-0.267813,0.0
-1.096167,1.296361,1.0
-0.06444,-0.061682,0.0
0.462258,-0.396526,0.0
1.424765,1.048059,1.0
0.755202,1.183268,0.0
-0.379145,-0.340841,0.0
-1.368069,-0.02028,1.0
-0.442397,1.205506,0.0
1.374904,0.131833,1.0
0.147016,-0.370149,0.0
0.534755,0.925343,0.0
0.165376,0.03193,0.0
-0.948645,-1.14767,1.0
0.169034,-0.556384,0.0
0.352052,-0.994182,1.0
1.43704,1.251278,1.0
1.02535,-0.12908,1.0
1.114592,-1.206941,1.0
-0.151933,-0.62623,0.0
0.959077,0.137745,0.0
0.515086,-0.963243,1.0
-0.972704,-0.56422,1.0
1.205286,1.154484,1.0
-1.248524,-0.948369,1.0
-1.216224,0.875559,1.0
-1.161384,0.963805,1.0
-1.464973,-0.136732,1.0
-0.818925,0.896253,0.0
-1.32147,-0.396258,1.0
-0.448286,0.157986,0.0
-0.178387,0.168362,0.0
1.084262,1.418812,1.0
0.031562,-1.492458,1.0
0.843486,-1.28432,1.0
1.479129,1.12288,1.0
1.030303,-0.049197,1.0
-1.109781,-0.108338,1.0
1.267414,0.511782,1.0
0.742415,1.39818,1.0
-1.09962,1.258501,1.0
0.611459,0.348907,0.0
-0.918926,-0.912438,1.0
0.662327,-1.247139,1.0
-0.107379,-0.725204,0.0
-1.11267,-0.939244,1.0
-0.403718,0.782684,0.0
0.895452,1.017852,0.0
1.081459,-0.412491,1.0
-0.880081,-1.19832,1.0
-1.177929,0.825487,1.0
0.595793,0.263171,0.0
0.9715,0.909826,0.0
-1.240092,0.816161,1.0
-0.520308,-0.258197,0.0
0.189183,-0.963015,1.0
-0.928851,-1.052151,1.0
-1.217476,-0.272873,1.0
0.075915,0.744497,0.0
0.324001,1.032712,0.0
-0.046207,-0.014098,0.0
0.389069,-0.792913,1.0
0.680204,-1.364964,1.0
0.075356,0.062375,0.0
0.9923,0.119263,0.0
-0.05693,0.291484,0.0
-0.111257,1.483469,1.0
-1.422796,-1.260125,1.0
-0.143742,-0.736674,0.0
0.73728,-1.123985,1.0
0.01454,-1.35468,1.0
0.47472,-0.562586,0.0
-0.010735,-0.852709,0.0
0.471375,-0.117037,0.0
-0.236651,-1.188535,1.0
-1.138188,-0.077361,1.0
-1.471336,1.139672,1.0
-0.538785,1.188017,0.0
1.46557,-0.410142,1.0
0.373731,0.769192,0.0
-1.295713,0.828592,1.0
0.237244,-0.10518,0.0
0.953963,-0.758742,1.0
0.502605,-1.226393,1.0
-0.894442,-0.134454,0.0
-0.448268,-1.284776,1.0
-1.029703,0.664382,0.0
-0.524298,-1.476552,1.0
1.15897,-0.948972,1.0
0.813046,-0.000429,0.0
0.25769,1.275827,1.0
1.155466,1.423657,1.0
0.209462,-0.467265,0.0
1.129823,1.430166,1.0
-1.280869,1.465209,1.0
-0.09117,1.070948,0.0
0.19636,0.823437,0.0
1.102498,-0.471065,1.0
